xlsx_file,matched_png,footer_type,footer_pixels,orig_width,orig_height,detected_crop_height,crop_height,crop_method,status,output_image_path
38.tif,38.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\38.png
39.tif,39.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\39.png
42.tif,42.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\42.png
43.tif,43.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\43.png
44.tif,44.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\44.png
48.tif,48.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\48.png
49.tif,49.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\49.png
53.tif,53.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\53.png
55.tif,55.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\55.png
64.tif,64.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\64.png
65.tif,65.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\65.png
66.tif,66.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\66.png
73.tif,73.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\73.png
74.tif,74.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\74.png
83.tif,83.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\83.png
89.tif,89.png,1,125,946,1024,1024,1024,left_sidebar_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\89.png
100.tif,100.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\100.png
104.tif,104.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\104.png
112.tif,112.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\112.png
116.tif,116.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\116.png
120.tif,120.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\120.png
132.tif,132.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\132.png
141.tif,141.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\141.png
143.tif,143.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\143.png
152.tif,152.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\152.png
172.tif,172.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\172.png
173.tif,173.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\173.png
174.tif,174.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\174.png
222.tif,222.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\222.png
231.tif,231.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\231.png
233.tif,233.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\233.png
262.tif,262.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\262.png
311.tif,311.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\311.png
322.tif,322.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\322.png
722.tif,722.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\722.png
732.tif,732.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\732.png
813.tif,813.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\813.png
823.tif,823.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\823.png
1123.tif,1123.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\1123.png
1333.tif,1333.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\1333.png
1433.tif,1433.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\1433.png
1443.tif,1443.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\1443.png
2232.tif,2232.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2232.png
2333.tif,2333.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2333.png
2344.tif,2344.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2344.png
2921.tif,2921.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2921.png
2933.tif,2933.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2933.png
3044.tif,3044.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3044.png
3111.tif,3111.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3111.png
3132(2).tif,3132 (2).png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3132 (2).png
3132.tif,3132.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3132.png
3233.tif,3233.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3233.png
4233.tif,4233.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\4233.png
4332.tif,4332.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\4332.png
7323.tif,7323.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\7323.png
8232.tif,8232.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\8232.png
23233.tif,23233.png,1,125,1024,948,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\23233.png
30123.tif,30123.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\30123.png
32322.tif,32322.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\32322.png
37233.tif,37233.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\37233.png
363232.tif,363232.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\363232.png
3232323.tif,3232323.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3232323.png
