"library","category","source_root","source_relative_path","size_bytes","sha256","is_canonical","canonical_destination_relative_path"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（MICCAI 24）EM-Net.pdf","1656124","8AEF84C026A0E1F6CAE509A1C71156C158DDB3532FC492137EFFB5B4D5E983E3","False","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）EM-Net__8AEF84C0.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（MICCAI 24）EM-Net.pdf","1656124","8AEF84C026A0E1F6CAE509A1C71156C158DDB3532FC492137EFFB5B4D5E983E3","True","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）EM-Net__8AEF84C0.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\TransXNet.pdf","7064685","8F0B9FED3165492958614C81F5DA9178B22F074874B2EC47D83CD945918A90C6","False","tools\module_reference_sync\pdfs\papers\ai_f\TransXNet__8F0B9FED.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\TransXNet.pdf","7064685","8F0B9FED3165492958614C81F5DA9178B22F074874B2EC47D83CD945918A90C6","True","tools\module_reference_sync\pdfs\papers\ai_f\TransXNet__8F0B9FED.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（TIP 2025）Quad-Bayer.pdf","13410846","9837E1344D7EC968B1C9D7F9BDB395B24A9DB5A4C0E052A2163169D56ABDD78C","False","tools\module_reference_sync\pdfs\papers\ai_f\（TIP_2025）Quad-Bayer__9837E134.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（TIP 2025）Quad-Bayer.pdf","13410846","9837E1344D7EC968B1C9D7F9BDB395B24A9DB5A4C0E052A2163169D56ABDD78C","True","tools\module_reference_sync\pdfs\papers\ai_f\（TIP_2025）Quad-Bayer__9837E134.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（cvpr2025）FCENet.pdf","4048526","C523E618F136B67B4E551D510402DE93BA91C8235433963F1E7452005F8E6A20","False","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）FCENet__C523E618.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（cvpr2025）FCENet.pdf","4048526","C523E618F136B67B4E551D510402DE93BA91C8235433963F1E7452005F8E6A20","True","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）FCENet__C523E618.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（cvpr2025）DarkIR.pdf","37842193","CB5DFFBFB48097EEB3E317C00A545F33081E4B24D51EF952E7EC1504699130F7","False","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）DarkIR__CB5DFFBF.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（cvpr2025）DarkIR.pdf","37842193","CB5DFFBFB48097EEB3E317C00A545F33081E4B24D51EF952E7EC1504699130F7","True","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）DarkIR__CB5DFFBF.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\5\5.pdf","5178904","E3374A213B9B874709EEB400E1EF9A1BA4E0CB3D5FC700632199B5E612552D61","False","tools\module_reference_sync\pdfs\guides\ai_f\即插即用模块介绍2__E3374A21.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\即插即用模块介绍2.pdf","5178904","E3374A213B9B874709EEB400E1EF9A1BA4E0CB3D5FC700632199B5E612552D61","True","tools\module_reference_sync\pdfs\guides\ai_f\即插即用模块介绍2__E3374A21.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xx-former并行例子.pdf","200107","030E4A3836274DE373F5AE6AE8063BDD4C99DD8B37CAE6C82AD12D54384E8DE3","True","tools\module_reference_sync\pdfs\guides\ai_f\xx-former并行例子__030E4A38.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\显著性目标检测\WCMFandFACMA.pdf","2740688","03B197BA4EDAA17B39EBB759178DF4C38950F5885CE95551D9370D52A58F85F5","True","tools\module_reference_sync\pdfs\papers\ai_f\WCMFandFACMA__03B197BA.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xLSTM架构.pdf","426721","0B6ACCFD325C7CCE31F99BA9ADA389B852C17F1DD153D42CFE8E40FB7571C8BE","True","tools\module_reference_sync\pdfs\guides\ai_f\xLSTM架构__0B6ACCFD.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\CLFT&UCDC.pdf","16773284","0BEF8AA628AF9C65B08C5990D68B930779B69CF6DC05D40FC7E49DF0AC531565","True","tools\module_reference_sync\pdfs\papers\ai_f\CLFT&UCDC__0BEF8AA6.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\创新案例分析.pdf","336543","1AE965B0E4CE0F21C0AC124B73766E2B74BEA05DEB3970D7EFDA5E688D83C93C","True","tools\module_reference_sync\pdfs\guides\ai_f\创新案例分析__1AE965B0.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\RFAConv.pdf","3889021","1BC15DDCF4720F521B836BEB849CB06F4081335F36EE910AC9F43CD9A701A37C","True","tools\module_reference_sync\pdfs\papers\ai_f\RFAConv__1BC15DDC.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\时间序列\ICBandASB.pdf","1440214","1CA7FCD7A44C2A466D37AA9A625538605BF9272F455FA047D0664DE9686320DD","True","tools\module_reference_sync\pdfs\papers\ai_f\ICBandASB__1CA7FCD7.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(CVPR2022)MetaFormer.pdf","1062564","20117977B3F8712CA2CCB61847CF6E4470250323596844833B620BAAD572FCDA","True","tools\module_reference_sync\pdfs\papers\ai_f\(CVPR2022)MetaFormer__20117977.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\RWKV架构.pdf","648603","204589781B3A2D4B539834E9AADEB54BE40FFAF379AC353DE0663E3BA5454361","True","tools\module_reference_sync\pdfs\guides\ai_f\RWKV架构__20458978.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\FSAS(CVPR_2023).pdf","3196084","2449A7A2AB2AFBEDC5F458CB1BB6473356900DBDDE962099DA2FC53B243ABF5E","True","tools\module_reference_sync\pdfs\papers\ai_f\FSAS(CVPR_2023)__2449A7A2.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(TIP2023)skfusion.pdf","11281445","351AFFC292EE945628412E4FB9910ECEC433A1CDCA37F86BBABB92C9F9582CA2","True","tools\module_reference_sync\pdfs\papers\ai_f\(TIP2023)skfusion__351AFFC2.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\时间序列\DAB.pdf","5145068","38BF0CAD2663055B394F299320D69CA7EC57CF5689E60D36F47762F477DA10DD","True","tools\module_reference_sync\pdfs\papers\ai_f\DAB__38BF0CAD.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(Github开源)深度学习调优指南.pdf","2474638","39B9224A4378C77EA22F27C830AA358C7ADAE4F2177F1A9D28AA587AFEB1C078","True","tools\module_reference_sync\pdfs\guides\ai_f\(Github开源)深度学习调优指南__39B9224A.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xx-former频域例子.pdf","217414","40A6A49838DA8EF363B9FD15171EED156AEFE75AC5F4DE182757B75AF4DCCB26","True","tools\module_reference_sync\pdfs\guides\ai_f\xx-former频域例子__40A6A498.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\4\4.pdf","4003988","43EBF828DDA3593DD5FDE61536C4457C489700884F7D2EB0EF0036FAFAF64F77","True","tools\module_reference_sync\pdfs\papers\ai_f\4__43EBF828.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\FEM&SCAM.pdf","3777883","493DD5FA79BE5C75420BCFCE12B8E94405E62759DD70BE4E7947E3B0FFD03720","True","tools\module_reference_sync\pdfs\papers\ai_f\FEM&SCAM__493DD5FA.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\中国计算机学会推荐国际学术会议和期刊目录-2022.pdf","1859493","498CE1A03640D1670788E53F460ACCA9919D0073CE1D10EB0F1A90C58015799F","True","tools\module_reference_sync\pdfs\guides\ai_f\中国计算机学会推荐国际学术会议和期刊目录-2022__498CE1A0.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\提示学习Prompt创新思维.pdf","421128","4A9511462BF5C7619CCED0F16E29FBB68C8A1D9491E6681C17B7C07F6B127D0E","True","tools\module_reference_sync\pdfs\guides\ai_f\提示学习Prompt创新思维__4A951146.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\模块制作进阶.pdf","273046","4C26AAE02ED02387F16A38D5542F464CAFFDF375FE7762E6A9C134BD3B4A2368","True","tools\module_reference_sync\pdfs\guides\ai_f\模块制作进阶__4C26AAE0.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\论文\(acm mm2023).pdf","3357047","4EFBAACFB7B5648D3D4FCC3F95A53DA7228B79DD86C378C7BBAC71861CC7413E","True","tools\module_reference_sync\pdfs\papers\ai_f\(acm_mm2023)__4EFBAACF.pdf"
